人物ID,姓名,姓,名,生年月日,没年月日
1296,ランボージャン・ニコラ・アルチュール,ランボー,ジャン・ニコラ・アルチュール,1854-10-20,1891-11-10
1266,牧野富太郎,牧野,富太郎,1862-05-22,1957-01-18
1134,ペローシャルル,ペロー,シャルル,1628-01-12,1703-05-16
1059,斎藤茂吉,斎藤,茂吉,1882-5-14,1953-2-25
250,河上肇,河上,肇,1879-10-20,1946-01-30
1053,峠三吉,峠,三吉,1917-02-19,1953-03-10
1404,河口慧海,河口,慧海,1866-02-26,1945-02-24
118,長塚節,長塚,節,1879-04-03,1915-02-08
1072,和田万吉,和田,万吉,1865-10-07,1934-11-21
1395,和辻哲郎,和辻,哲郎,1889-03-01,1960-12-26
1044,ド・ラ・ラメーマリー・ルイーズ,ド・ラ・ラメー,マリー・ルイーズ,1839-01-01,1908-01-25
126,田中英光,田中,英光,1913-01-10,1949-11-03
14,村山槐多,村山,槐多,1896-09-15,1919-02-20
256,倉田百三,倉田,百三,1891-02-23,1943-02-12
1341,永井荷風,永井,荷風,1879-12-03,1959-04-30
293,原民喜,原,民喜,1905-11-15,1951-03-13
372,桑原隲蔵,桑原,隲蔵,1871-01-27,1931-05-24
34,内村鑑三,内村,鑑三,1861-03-26,1930-03-28
1028,イプセンヘンリック,イプセン,ヘンリック,1828-03-20,1906-05-23
311,宮本百合子,宮本,百合子,1899-02-13,1951-01-21
82,岡本綺堂,岡本,綺堂,1872-11-15,1939-03-01
1245,会津八一,会津,八一,1881-08-01,1956-11-21
1029,デカルトルネ,デカルト,ルネ,1596,1650
1025,ゲーテヨハン・ヴォルフガング・フォン,ゲーテ,ヨハン・ヴォルフガング・フォン,1749-08-28,1832-03-22
1403,北大路魯山人,北大路,魯山人,1883-03-23,1959-12-21
93,南方熊楠,南方,熊楠,1867-05-18,1941-12-29
1034,浅野和三郎,浅野,和三郎,1874-08,1937-02-03
1465,東健而,東,健而,1889,1933
146,種田山頭火,種田,山頭火,1882-12-03,1940-10-11
1839,荒木光二郎,荒木,光二郎,,
1264,榎本武揚,榎本,武揚,1836-10-05,1908-10-26
354,勝海舟,勝,海舟,1823-03-12,1899-01-19
535,桐生悠々,桐生,悠々,1873-05-20,1941-09-10
1257,アーヴィングワシントン,アーヴィング,ワシントン,1783-04-03,1859-11-28
718,新渡戸稲造,新渡戸,稲造,1862-09-01,1933-10-16
903,モーパッサンギ・ド,モーパッサン,ギ・ド,1850-08-05,1893-07-06
226,アレニウススヴァンテ,アレニウス,スヴァンテ,1859-02-19,1927-10-02
969,杉山萠円,杉山,萠円,1889-01-04,1936-03-11
124,小熊秀雄,小熊,秀雄,1901-09-09,1940-11-20
1155,チェーホフアントン,チェーホフ,アントン,1860-01-17,1904-07-02
1843,アレンリリー・Ｌ,アレン,リリー・Ｌ,1867-12-30,1952-02-14
216,直木三十五,直木,三十五,1891-02-12,1934-02-24
154,田中貢太郎,田中,貢太郎,1880-03-02,1941-02-01
279,徳冨健次郎,徳冨,健次郎,1868-12-08,1927-09-18
997,北条民雄,北条,民雄,1914-09-22,1937-12-05
1216,井原西鶴,井原,西鶴,1642,1693-09-09
286,野口雨情,野口,雨情,1882-05-29,1945-01-27
1579,室生犀星,室生,犀星,1889-08-01,1962-03-26
1093,ロランロマン,ロラン,ロマン,1866-01-29,1944-12-30
1189,ジェファーソントマス,ジェファーソン,トマス,1743-04-13,1826-07-04
1430,ウェルズハーバート・ジョージ,ウェルズ,ハーバート・ジョージ,1866-09-21,1946-08-13
1320,西郷隆盛,西郷,隆盛,1828-01-23,1877-09-24
57,福田英子,福田,英子,1865-11-22,1927-05-02
1085,イエイツウィリアム・バトラー,イエイツ,ウィリアム・バトラー,1865-06-13,1939-01-28
1380,石川欣一,石川,欣一,1895-03-17,1959-08-04
207,ゴーゴリニコライ,ゴーゴリ,ニコライ,1809-03-12,1852-02-21
1528,日本国,日本国,,,
1224,久生十蘭,久生,十蘭,1902-04-06,1957-10-06
906,豊島与志雄,豊島,与志雄,1890-11-27,1955-06-18
968,かぐつちみどり,かぐつち,みどり,1889-01-04,1936-03-11
1351,池田蕉園,池田,蕉園,1886-05-13,1917-12-01
351,増田雅子,増田,雅子,1880-05-06,1946-09-02
318,山川登美子,山川,登美子,1879-07-19,1909-04-15
1099,ホーマー,ホーマー,,,
1160,池田菊苗,池田,菊苗,1864,1936-05-03
1159,佐野昌一,佐野,昌一,1897-12-26,1949-05-17
1421,阿部次郎,阿部,次郎,1883-08-27,1959-10-20
11,立原道造,立原,道造,1914-07-30,1939-03-29
1869,山本周五郎,山本,周五郎,1903-06-22,1967-02-14
827,森本薫,森本,薫,1912-06-04,1946-10-06
966,海若藍平,海若,藍平,1889-01-04,1936-03-11
1119,岩波茂雄,岩波,茂雄,1881-08-27,1946-04-25
1569,中谷宇吉郎,中谷,宇吉郎,1900-07-04,1962-04-11
1049,ファーブルジャン・アンリ,ファーブル,ジャン・アンリ,1823-12-23,1915-10-11
281,戸坂潤,戸坂,潤,1900-09-27,1945-08-09
1734,石波杏,石波,杏,1982,
157,北村透谷,北村,透谷,1868-12-29,1894-05-16
989,三遊亭円朝,三遊亭,円朝,1839-05-13,1900-08-11
1477,陳寿,陳,寿,233,297
1429,石原純,石原,純,1881-1-15,1947-1-19
726,長谷川時雨,長谷川,時雨,1879-10-01,1941-08-22
1011,波多野精一,波多野,精一,1877-07-21,1950-01-17
886,泉鏡太郎,泉,鏡太郎,1873-11-04,1939-09-07
981,巌谷小波,巌谷,小波,1870-07-04,1933-09-05
136,山村暮鳥,山村,暮鳥,1884-01-10,1924-12-08
261,幸徳秋水,幸徳,秋水,1871-11-05,1911-01-24
284,内藤湖南,内藤,湖南,1866-08-26,1934-06-26
1875,壺井栄,壺井,栄,1899-08-05,1967-06-23
649,田中正造,田中,正造,1841-12-15,1913-09-04
355,上村松園,上村,松園,1875-04-23,1949-08-27
1277,ガンジーマハトマ,ガンジー,マハトマ,1869-10-02,1948-01-30
1311,三好十郎,三好,十郎,1902-04-21,1958-12-16
259,小出楢重,小出,楢重,1887-10-13,1931-02-13
190,大手拓次,大手,拓次,1887-12-03,1934-04-18
506,河合栄治郎,河合,栄治郎,1891-02-13,1944-02-15
1749,三好達治,三好,達治,1900-08-23,1964-04-05
1047,マロエクトール・アンリ,マロ,エクトール・アンリ,1830-05-20,1907-07-17
1021,井上円了,井上,円了,1858-03-18,1919-06-06
595,島田清次郎,島田,清次郎,1899-02-26,1930-04-29
1052,久坂葉子,久坂,葉子,1931-03-27,1952-12-31
1541,高山毅,高山,毅,1911-08-01,1961-10-28
1558,古川緑波,古川,緑波,1903-08-13,1961-01-16
23,徳田秋声,徳田,秋声,1872-02-01,1943-11-18
1312,木村荘八,木村,荘八,1893-08-21,1958-11-18
77,押川春浪,押川,春浪,1876-03-21,1914-11-16
1416,田山録弥,田山,録弥,1872-01-22,1930-05-13
1398,高木貞治,高木,貞治,1875-04-21,1960-02-28
1088,プーシキンアレクサンドル・セルゲーヴィチ,プーシキン,アレクサンドル・セルゲーヴィチ,1799-05-26,1837-01-17
61,橋本進吉,橋本,進吉,1882-12-24,1945-01-30
1536,桂三木助,桂,三木助,1902-03-28,1961-01-16
169,大杉栄,大杉,栄,1885-01-17,1923-09-16
1570,小倉金之助,小倉,金之助,1885-03-14,1962-10-21
967,香倶土三鳥,香倶土,三鳥,1889-01-04,1936-03-11
984,葛西善蔵,葛西,善蔵,1887-01-16,1928-07-23
8,島木健作,島木,健作,1903-09-07,1945-08-17
89,北一輝,北,一輝,1883-04-03,1937-08-19
271,高山樗牛,高山,樗牛,1871-02-28,1902-12-24
1293,小野佐世男,小野,佐世男,1905-02-06,1954-02-01
227,生田春月,生田,春月,1892-03-12,1930-05-19
1520,柳宗悦,柳,宗悦,1889-03-21,1961-05-03
224,小泉節子,小泉,節子,1868-02-04,1932-02-18
301,穂積陳重,穂積,陳重,1855-08-23,1926-04-07
1156,ルナールジュール,ルナール,ジュール,1864-02-22,1910-05-22
922,末弘厳太郎,末弘,厳太郎,1888-11-30,1951-09-11
1364,ニューコムシモン,ニューコム,シモン,1835,1909
1242,坪井正五郎,坪井,正五郎,1863-02-22,1913-05-26
1065,高田力,高田,力,,1950
1081,土井晩翠,土井,晩翠,1871-12-05,1952-10-19
1584,秋田雨雀,秋田,雨雀,1883-01-30,1962-05-12
1217,ヴァレリーポール,ヴァレリー,ポール,1871-10-30,1945-07-20
564,斎藤秀三郎,斎藤,秀三郎,1866-02-16,1929-11-09
416,伊藤野枝,伊藤,野枝,1895-01-21,1923-09-16
1581,正宗白鳥,正宗,白鳥,1879-03-03,1962-10-28
1695,飯田蛇笏,飯田,蛇笏,1885-04-26,1962-10-03
1305,羽志主水,羽志,主水,1884-06-03,1957-02-26
63,宮武外骨,宮武,外骨,1867-02-22,1955-07-28
270,高村光雲,高村,光雲,1852-03-08,1934-10-10
748,平田晋策,平田,晋策,1904-03-06,1936-01-28
1310,高浜虚子,高浜,虚子,1874-02-22,1959-04-08
1331,秋月種樹,秋月,種樹,1833-11-28,1904-10-17
1332,佐藤一斎,佐藤,一斎,1772-11-14,1859-10-19
1166,中井正一,中井,正一,1900-02-14,1952-05-18
1568,妹尾アキ夫,妹尾,アキ夫,1892-03-04,1962-04-19
1313,正岡容,正岡,容,1904-12-20,1958-12-07
1344,喜田貞吉,喜田,貞吉,1871-07-11,1939-07-03
1648,土谷麓,土谷,麓,1914-03-30,1962-09-03
340,ガールシンフセヴォロド・ミハイロヴィチ,ガールシン,フセヴォロド・ミハイロヴィチ,1855-02-14,1888-04-05
368,添田唖蝉坊,添田,唖蝉坊,1872-12-25,1944-02-08
1733,フリーマンリチャード オースティン,フリーマン,リチャード オースティン,1862-04-11,1943-09-28
1420,中山太郎,中山,太郎,1876-11-13,1947-06-13
1668,西東三鬼,西東,三鬼,1900-05-15,1962-04-01
1125,井上紅梅,井上,紅梅,1881,1950
1263,服部之総,服部,之総,1901-09-24,1956-03-04
2034,井上基志,井上,基志,,
843,山田美妙,山田,美妙,1868-08-25,1910-10-24
255,国枝史郎,国枝,史郎,1887-10-10,1943-04-08
150,薄田泣菫,薄田,泣菫,1877-05-19,1945-10-09
1248,佐藤垢石,佐藤,垢石,1888-06-18,1956-07-04
1068,釈迢空,釈,迢空,1887-02-11,1953-09-03
1499,外村繁,外村,繁,1902-12-23,1961-07-28
905,ホーソーンナサニエル,ホーソーン,ナサニエル,1804-07-04,1864-05-19
1488,火野葦平,火野,葦平,1907-01-25,1960-01-24
310,三上於菟吉,三上,於菟吉,1891-02-04,1944-02-07
1349,武田祐吉,武田,祐吉,1886-05-05,1958-03-29
1468,賀川豊彦,賀川,豊彦,1888-07-10,1960-04-23
1143,西尾正,西尾,正,1907-12-12,1949-03-10
1487,浅沼稲次郎,浅沼,稲次郎,1898-12-27,1960-10-12
1789,日本経済新聞社,日本経済新聞社,,,
1212,中江兆民,中江,兆民,1847-12-08,1901-12-13
1417,中江篤介,中江,篤介,1847-12-08,1901-12-13
1535,津田左右吉,津田,左右吉,1873-10-03,1961-12-04
315,森林太郎,森,林太郎,1862-02-17,1922-07-09
1211,清沢満之,清沢,満之,1863-08-10,1903-06-06
1669,大倉燁子,大倉,燁子,1886-04-12,1960-07-18
1340,ブラウニングロバート,ブラウニング,ロバート,1812-05-07,1889-12-12
1153,長岡半太郎,長岡,半太郎,1865-08-19,1950-12-11
289,浜尾四郎,浜尾,四郎,1896-04-24,1935-10-29
1329,ウォルトンみちよ,ウォルトン,みちよ,,
248,上司小剣,上司,小剣,1874-12-15,1947-09-02
1205,下村千秋,下村,千秋,1893-09-04,1955-01-31
810,村井弦斎,村井,弦斎,1863-12-18,1927-07-30
1157,神西清,神西,清,1903-11-15,1957-03-11
1578,今村明恒,今村,明恒,1870-06-14,1948-01-01
1127,狩野直喜,狩野,直喜,1868-02-11,1947-12-13
1407,ストレイチーリットン,ストレイチー,リットン,1880-03-01,1932-01-21
276,知里幸恵,知里,幸恵,1903-06-08,1922-09-18
1539,片山敏彦,片山,敏彦,1898-11-05,1961-10-11
320,与謝野寛,与謝野,寛,1873-02-26,1935-03-26
1612,江森盛弥,江森,盛弥,1903-08-18,1960-04-05
525,木下尚江,木下,尚江,1869-10-12,1937-11-05
325,蘭郁二郎,蘭,郁二郎,1913-09-02,1944-01-05
1397,橘外男,橘,外男,1894-10-10,1959-07-09
1142,酒井嘉七,酒井,嘉七,1903,1946
1454,伊藤永之介,伊藤,永之介,1903-11-21,1959-07-26
1425,小寺菊子,小寺,菊子,1883-08-07,1956-11-26
260,甲賀三郎,甲賀,三郎,1893-10-05,1945-02-14
268,関根金次郎,関根,金次郎,1868-04-01,1946-03-12
1399,マクラウドフィオナ,マクラウド,フィオナ,1855-09-12,1905-12-12
1325,上村経吉,上村,経吉,1868-04-28,1922-11-21
1326,小笠原長生,小笠原,長生,1867-12-15,1958-09-20
236,大阪圭吉,大阪,圭吉,1912-03-20,1945-07-02
1346,片山広子,片山,広子,1878-02-10,1957-03-19
1486,佐藤緑葉,佐藤,緑葉,1886-07-01,1960-09-02
75,リルケライネル・マリア,リルケ,ライネル・マリア,1875-12-04,1926-12-29
262,小酒井不木,小酒井,不木,1890-10-08,1929-04-01
1179,土田耕平,土田,耕平,1895-01-25,1940-08-12
1497,吉井勇,吉井,勇,1886-10-08,1960-11-19
1054,浜田青陵,浜田,青陵,1881-02-22,1938-07-25
740,原口統三,原口,統三,1927-01-14,1946-10-25
1479,風巻景次郎,風巻,景次郎,1902-05-22,1960-01-04
95,佐々木直次郎,佐々木,直次郎,1901-03-27,1943-05-24
241,小栗風葉,小栗,風葉,1875-02-03,1926-01-15
1195,ダビットヤーコプ・ユリウス,ダビット,ヤーコプ・ユリウス,1859,1906
1372,柴崎芳太郎,柴崎,芳太郎,1876-08-13,1938-01-29
684,内藤鳴雪,内藤,鳴雪,1847-05-29,1926-02-20
1702,ベートーヴェンルートヴィヒ・ヴァン,ベートーヴェン,ルートヴィヒ・ヴァン,1770-12,1827-03-26
1190,アルテンベルクペーター,アルテンベルク,ペーター,1859-03-09,1919-01-08
252,金史良,金,史良,1914-03-03,1950
488,小柳司気太,小柳,司気太,1870-12-24,1940-07-18
275,近松秋江,近松,秋江,1876-05-04,1944-04-23
1193,オイレンベルクヘルベルト,オイレンベルク,ヘルベルト,1876-01-25,1949-09-04
1308,徳永直,徳永,直,1899-01-20,1958-02-15
1192,ホーフマンスタールフーゴー・フォン,ホーフマンスタール,フーゴー・フォン,1874-02-01,1929-07-15
978,竹越与三郎,竹越,与三郎,1865-11-22,1950-01-12
1229,クロポトキンピョートル・アレクセーヴィチ,クロポトキン,ピョートル・アレクセーヴィチ,1842-12-09,1921-02-08
1272,溝口健二,溝口,健二,1898-05-16,1956-08-24
603,白鳥庫吉,白鳥,庫吉,1865-03-01,1942-04-01
134,佐左木俊郎,佐左木,俊郎,1900-04-14,1933-03-13
304,牧逸馬,牧,逸馬,1900-01-17,1935-06-29
1543,犬養健,犬養,健,1896-07-28,1960-08-28
10,大久保ゆう,大久保,ゆう,1982,
712,成島柳北,成島,柳北,1837-03-22,1884-11-30
1575,濹上漁史,濹上漁史,,1837-03-22,1884-11-30
48,南部修太郎,南部,修太郎,1892-10-12,1936-06-22
1151,久米正雄,久米,正雄,1891-11-23,1952-03-01
247,加能作次郎,加能,作次郎,1885-01-10,1941-08-05
930,山本禾太郎,山本,禾太郎,1889-02-28,1951-03-16
162,若山牧水,若山,牧水,1885-08-24,1928-09-17
388,淡島寒月,淡島,寒月,1859-11-17,1926-02-23
102,石橋忍月,石橋,忍月,1865-10-20,1926-02-01
1154,岸田国士,岸田,国士,1890-11-02,1954-03-05
212,竹久夢二,竹久,夢二,1884-09-16,1934-09-01
457,大槻文彦,大槻,文彦,1847-12-22,1928-02-17
963,野上豊一郎,野上,豊一郎,1883-09-14,1950-02-23
1261,邦枝完二,邦枝,完二,1892-12-28,1956-08-02
1222,高楠順次郎,高楠,順次郎,1866-06-29,1945-06-28
1865,大堀竜太郎,大堀,竜太郎,,
1306,川田功,川田,功,1882,1931
278,津村信夫,津村,信夫,1909-01-05,1944-06-27
1178,テーラージェーン,テーラー,ジェーン,1783,1824
1370,豊田三郎,豊田,三郎,1907-02-12,1959-11-18
221,平林初之輔,平林,初之輔,1892-11-08,1931-06-15
606,杉田久女,杉田,久女,1890-05-30,1946-01-21
754,福士幸次郎,福士,幸次郎,1889-11-05,1946-10-11
290,林不忘,林,不忘,1900-01-17,1935-06-29
565,斎藤緑雨,斎藤,緑雨,1868-01-24,1904-04-13
959,相馬御風,相馬,御風,1883-07-10,1950-05-08
1123,チェスタートンギルバート・キース,チェスタートン,ギルバート・キース,1874-05-29,1936-06-14
72,山中貞雄,山中,貞雄,1909-11-07,1938-09-17
1703,ヴェーゲラーフランツ・ゲルハルト,ヴェーゲラー,フランツ・ゲルハルト,1765-08-02,1848-05-07
491,片岡鉄兵,片岡,鉄兵,1894-02-02,1944-12-25
492,片上伸,片上,伸,1884-02-20,1928-03-05
1931,岡田武松,岡田,武松,1874-08-17,1956-09-02
1073,高田保,高田,保,1895-03-28,1952-02-20
1704,ブロイニングエレオノーレ・フォン,ブロイニング,エレオノーレ・フォン,1771,1841
1732,ボードレールシャルル・ピエール,ボードレール,シャルル・ピエール,1821-04-09,1867-08-31
1294,兼常清佐,兼常,清佐,1885-11-22,1957-04-25
577,佐藤惣之助,佐藤,惣之助,1890-12-03,1942-05-15
159,辻潤,辻,潤,1884-10-04,1944-11-24
1149,マルサストマス・ロバート,マルサス,トマス・ロバート,1766-02-13,1834-12-29
1251,ゴールドマンエマ,ゴールドマン,エマ,1869-06-27,1940-05-14
165,内田魯庵,内田,魯庵,1868-04-27,1929-06-29
1392,長谷健,長谷,健,1904-10-17,1957-12-21
1577,服部宇之吉,服部,宇之吉,1867-06-02,1939-07-11
1368,山本実彦,山本,実彦,1885-01-05,1952-07-01
1533,宇野浩二,宇野,浩二,1891-07-26,1961-09-21
526,木下利玄,木下,利玄,1886-01-01,1925-02-15
1147,相馬愛蔵,相馬,愛蔵,1870-11-08,1954-02-14
1148,相馬黒光,相馬,黒光,1876-09-12,1955-03-02
1542,青野季吉,青野,季吉,1890-02-24,1961-06-23
1086,ゴーチェテオフィル,ゴーチェ,テオフィル,1811-08-30,1872-10-23
1521,長与善郎,長与,善郎,1888-08-06,1961-10-29
1231,松本文三郎,松本,文三郎,1869,1944-12-18
1481,三木貞一,三木,貞一,1861,1933
249,嘉村礒多,嘉村,礒多,1897-12-15,1933-11-30
1082,相馬泰三,相馬,泰三,1885-12-29,1952-05-15
112,水野仙子,水野,仙子,1888-12-03,1919-05-31
1172,村山籌子,村山,籌子,1903-11-07,1946-08-04
1295,レスコーフニコライ・セミョーノヴィチ,レスコーフ,ニコライ・セミョーノヴィチ,1831-02-16,1895-03-05
1396,原田義人,原田,義人,1918-08-05,1960-08-01
237,大町桂月,大町,桂月,1869-03-06,1925-06-10
1101,ミルトンジョン,ミルトン,ジョン,1608-12-09,1674-11-08
1374,大下藤次郎,大下,藤次郎,1870-07-09,1911-10-10
1379,小川登喜男,小川,登喜男,1908,1949
1381,石井柏亭,石井,柏亭,1882-03-28,1958-12-29
141,坪内逍遥,坪内,逍遥,1859-06-22,1935-02-28
1037,原勝郎,原,勝郎,1871-04-15,1924-01-12
163,若松賤子,若松,賤子,1864-04-06,1896-02-10
1476,大鹿卓,大鹿,卓,1898-08-25,1959-02-01
348,范曄,范,曄,398,445
1567,橘樸,橘,樸,1881-10-14,1945-10-25
1337,阪井久良伎,阪井,久良伎,1869,1945
802,三宅花圃,三宅,花圃,1869-02-04,1943-07-18
1375,鵜殿正雄,鵜殿,正雄,1877,1945
1373,木暮理太郎,木暮,理太郎,1873,1944-05-07
1228,辻村もと子,辻村,もと子,1906-02-11,1946-05-24
1017,三上義夫,三上,義夫,1875-02-16,1950-12-31
220,吉江喬松,吉江,喬松,1880-09-05,1940-03-26
1389,シュウォッブマルセル,シュウォッブ,マルセル,1867-08-25,1905-02-26
940,別所梅之助,別所,梅之助,1872-01-21,1945-03-01
1388,新島襄,新島,襄,1843-02-12,1890-01-23
111,佐々木味津三,佐々木,味津三,1896-03-18,1934-02-06
1062,ストリンドベリアウグスト,ストリンドベリ,アウグスト,1849,1912
1595,井上準之助,井上,準之助,1869-05-06,1932-02-09
970,とだけん,とだ,けん,1889-01-04,1936-03-11
1262,土原耕作,土原,耕作,1889-01-04,1936-03-11
342,柴田流星,柴田,流星,1879-02-28,1913-09-27
1066,ビアスアンブローズ,ビアス,アンブローズ,1842,1914
338,フランスアナトール,フランス,アナトール,1844-04-16,1924-10-12
1428,アインシュタインアルベルト,アインシュタイン,アルベルト,1879-03-14,1955-04-18
374,饗庭篁村,饗庭,篁村,1855-09-25,1922-06-20
1314,青柳喜兵衛,青柳,喜兵衛,1904-01-01,1938-08-28
1990,芥川紗織,芥川,紗織,1924-05-24,1966-01-31
347,小川亮作,小川,亮作,1910,1951
380,浅井洌,浅井,洌,1849-10-10,1938-02-27
