index,birthDate,birthPlace,deathDate,gender
298,+1868-04-23T00:00:00Z,Chiba Prefecture,+1946-03-12T00:00:00Z,male
299,+1855-09-12T00:00:00Z,Paisley,+1905-12-12T00:00:00Z,male
300
304,+1886-07-01T00:00:00Z,,+1960-09-02T00:00:00Z,male
305,+1875-12-04T00:00:00Z,Prague,+1926-12-29T00:00:00Z,male
307,+1895-01-01T00:00:00Z,,+1940-01-01T00:00:00Z,male
309,+1881-02-22T00:00:00Z,Kishiwada,+1938-07-25T00:00:00Z,male
310,+1927-01-14T00:00:00Z,,+1946-10-25T00:00:00Z,male
314,+1859-02-06T00:00:00Z,Hranice,+1906-11-20T00:00:00Z,male
315,+1876-08-13T00:00:00Z,,+1938-01-29T00:00:00Z,male
317,+1770-12-16T00:00:00Z,Bonn,+1827-03-26T00:00:00Z,male
318
319,+1914-03-03T00:00:00Z,Pyongyang,+1950-10-00T00:00:00Z,male
320,+1870-12-24T00:00:00Z,,+1940-07-18T00:00:00Z,male
322,+1876-01-25T00:00:00Z,Cologne,+1949-09-04T00:00:00Z,male
324,+1874-02-01T00:00:00Z,Vienna,+1929-07-15T00:00:00Z,male
325,+1865-11-22T00:00:00Z,Honjō-shuku,+1950-01-12T00:00:00Z,male
326
330,+1900-01-17T00:00:00Z,Sado district,+1935-06-29T00:00:00Z,male
332,+1997-05-17T00:00:00Z,Kyoto Prefecture,,male
333,+1837-03-22T00:00:00Z,,+1884-11-30T00:00:00Z,male
334
337,+1885-01-10T00:00:00Z,,+1941-08-05T00:00:00Z,male
342,+1890-11-02T00:00:00Z,Tokyo,+1954-03-05T00:00:00Z,male
348
349
351,,,,unknown
356,+1900-01-17T00:00:00Z,Sado district,+1935-06-29T00:00:00Z,male
359,+1874-05-29T00:00:00Z,Kensington,+1936-06-14T00:00:00Z,male
360,+1909-11-07T00:00:00Z,Kyoto,+1938-09-17T00:00:00Z,male
361,+1765-08-22T00:00:00Z,Bonn,+1848-05-07T00:00:00Z,male
366
367,+1821-04-09T00:00:00Z,former 11th arrondissement of Paris,+1867-08-31T00:00:00Z,male
368,+1885-11-22T00:00:00Z,,+1957-04-25T00:00:00Z,male
371,+1766-02-13T00:00:00Z,Westcott,+1834-12-23T00:00:00Z,male
372,+1869-06-27T00:00:00Z,Kaunas,+1940-05-14T00:00:00Z,female
375,+1867-06-02T00:00:00Z,,+1939-07-11T00:00:00Z,male
382,+1811-08-30T00:00:00Z,Tarbes,+1872-10-23T00:00:00Z,male
383,+1888-08-06T00:00:00Z,Tokyo Prefecture,+1961-10-29T00:00:00Z,male
384,+1869-01-01T00:00:00Z,,+1944-12-18T00:00:00Z,male
385
387,+1885-12-29T00:00:00Z,,+1952-05-15T00:00:00Z,male
389,+1903-11-07T00:00:00Z,,+1946-08-04T00:00:00Z,female
390,+1831-02-04T00:00:00Z,,+1895-02-21T00:00:00Z,male
393,+1608-12-09T00:00:00Z,Cheapside,+1674-11-08T00:00:00Z,male
400,+1898-08-25T00:00:00Z,,+1959-02-01T00:00:00Z,male
401,+0398-01-01T00:00:00Z,Jin dynasty,+0445-01-01T00:00:00Z,male
403,+1869-03-06T00:00:00Z,Yokohama,+1945-04-03T00:00:00Z,unknown
405
406,+1873-12-07T00:00:00Z,,+1944-05-07T00:00:00Z,male
410,+1867-08-23T00:00:00Z,Chaville,+1905-02-26T00:00:00Z,male
413,+1896-01-01T00:00:00Z,,+1934-02-06T00:00:00Z,male
414,+1849-01-22T00:00:00Z,Storkyrkoförsamlingen,+1912-05-14T00:00:00Z,male
416
417
418
419,+1842-06-24T00:00:00Z,Meigs County,+1914-00-00T00:00:00Z,male
420,+1844-04-16T00:00:00Z,Paris,+1924-10-12T00:00:00Z,male
421,+1879-03-14T00:00:00Z,Ulm,+1955-04-18T00:00:00Z,male
423
424,+1924-05-24T00:00:00Z,Takashi,+1966-01-31T00:00:00Z,female
425
426,+1849-11-24T00:00:00Z,,+1934-02-27T00:00:00Z,male
428
431,+1890-02-22T00:00:00Z,,+1966-03-13T00:00:00Z,male
432
433,+1869-03-22T00:00:00Z,,+1937-12-20T00:00:00Z,male
434
435,+1878-11-05T00:00:00Z,Dobroslavivka,+1927-03-03T00:00:00Z,male
437,+1871-08-09T00:00:00Z,Oryol,+1919-09-12T00:00:00Z,male
438,+1910-08-20T00:00:00Z,Jong-ro,+1937-04-17T00:00:00Z,male
439
440
442,+1896-12-09T00:00:00Z,,+1956-12-19T00:00:00Z,male
445
446
447,+1865-08-14T00:00:00Z,,+1943-12-06T00:00:00Z,male
448,+1880-01-20T00:00:00Z,,+1946-10-01T00:00:00Z,male
450,,,,unknown
452,+1859-11-11T00:00:00Z,,+1943-07-25T00:00:00Z,male
453,,,,male
455,+1905-03-18T00:00:00Z,,+1959-04-09T00:00:00Z,male
457,+1860-03-09T00:00:00Z,Agano,+1944-04-21T00:00:00Z,male
459,+1963-06-11T00:00:00Z,,,male
462,+1891-08-23T00:00:00Z,,+1957-07-21T00:00:00Z,male
467
471,+1877-10-04T00:00:00Z,,+1946-01-10T00:00:00Z,male
473,+1870-02-25T00:00:00Z,,+1917-08-17T00:00:00Z,male
474
476,+1858-03-06T00:00:00Z,Holmegård,+1914-10-24T00:00:00Z,male
477,+1867-02-11T00:00:00Z,Ōkubo,+1937-10-26T00:00:00Z,male
480,,,,unknown
481,+1855-05-21T00:00:00Z,Sint-Amands,+1916-11-27T00:00:00Z,male
482,+1848-03-28T00:00:00Z,,+1930-01-06T00:00:00Z,male
483,+1899-01-01T00:00:00Z,,+1952-01-01T00:00:00Z,male
484,+1885-01-01T00:00:00Z,,+1959-09-20T00:00:00Z,male
486
487
489,+1820-11-28T00:00:00Z,Barmen,+1895-08-05T00:00:00Z,male
491
492
493
496,+1899-09-04T00:00:00Z,Shiba-ku,+1928-03-25T00:00:00Z,male
498
500
501,+1868-03-15T00:00:00Z,Yokohama,+1936-10-31T00:00:00Z,male
502,+1854-02-26T00:00:00Z,Fushimi-ku,+1921-04-16T00:00:00Z,male
504,+1900-12-12T00:00:00Z,,+1942-12-02T00:00:00Z,male
509,+1876-01-05T00:00:00Z,,+1956-01-31T00:00:00Z,male
510,+1879-12-01T00:00:00Z,Hotaka,+1910-04-22T00:00:00Z,male
512,+1901-04-29T00:00:00Z,Shiba-ku,+1944-11-07T00:00:00Z,male
514
517,+1888-07-02T00:00:00Z,Fukuoka Prefecture,+1943-02-01T00:00:00Z,male
518,,,,unknown
519,,,,unknown
520,,,,unknown
522
523
525,,,,unknown
527,+1836-08-05T00:00:00Z,Izushi,+1916-02-09T00:00:00Z,male
530,+1902-11-00T00:00:00Z,Yasuoka,+1934-08-17T00:00:00Z,unknown
533,+1903-01-25T00:00:00Z,Yokohama,+1926-07-23T00:00:00Z,female
536,+1876-01-01T00:00:00Z,,,male
540,+1874-05-07T00:00:00Z,Sakai,+1965-01-17T00:00:00Z,male
543
544,+1879-05-24T00:00:00Z,,+1951-01-27T00:00:00Z,unknown
545,+1897-08-17T00:00:00Z,Tokyo,+1941-07-17T00:00:00Z,male
547
548,+1874-07-07T00:00:00Z,Saza,+1939-07-07T00:00:00Z,unknown
549
551,+0580-01-01T00:00:00Z,Julu County,+0643-01-01T00:00:00Z,male
553,+1870-12-18T00:00:00Z,,+1947-07-21T00:00:00Z,male
554,,,,unknown
557
558,+1871-04-01T00:00:00Z,,+1927-11-14T00:00:00Z,male
560,+1865-12-30T00:00:00Z,Mumbai,+1936-01-18T00:00:00Z,male
561,+1830-02-27T00:00:00Z,,+1901-12-09T00:00:00Z,male
562,+1881-09-12T00:00:00Z,,+1954-04-20T00:00:00Z,male
564,+1977-02-15T00:00:00Z,Shimotsuga district,+2010-10-06T00:00:00Z,male
565,+1853-04-23T00:00:00Z,,+1922-01-13T00:00:00Z,male
566,+1832-01-27T00:00:00Z,Daresbury,+1898-01-14T00:00:00Z,male
567,+1341-01-01T00:00:00Z,Hangzhou,+1427-01-01T00:00:00Z,male
569
570,+1903-08-23T00:00:00Z,,+1966-09-23T00:00:00Z,male
571,+1872-10-06T00:00:00Z,Yaroslavl,+1936-03-01T00:00:00Z,male
572
573
575,+1883-04-22T00:00:00Z,,+1942-11-12T00:00:00Z,male
578,+1854-08-02T00:00:00Z,Bagni di Lucca,+1909-04-09T00:00:00Z,male
579
581,+1840-12-03T00:00:00Z,Limoges,+1913-12-23T00:00:00Z,male
582
583,+1858-04-04T00:00:00Z,Bazoches-au-Houlme,+1915-09-27T00:00:00Z,male
584,+1868-08-06T00:00:00Z,Villeneuve-sur-Fère,+1955-02-23T00:00:00Z,male
585,+1909-06-19T00:00:00Z,Kanagi,+1948-06-13T00:00:00Z,male
588
590,+1849-12-11T00:00:00Z,Gladhammar church parish,+1926-04-25T00:00:00Z,female
591,,,,unknown
592,,,,unknown
593
596,+1910-05-04T00:00:00Z,,+1945-01-08T00:00:00Z,male
597,+1863-01-11T00:00:00Z,,+1930-09-03T00:00:00Z,male
598,+1905-01-01T00:00:00Z,,+1963-01-01T00:00:00Z,male
601,+1868-03-16T00:00:00Z,Nizhny Novgorod,+1936-06-18T00:00:00Z,male
602,+1870-01-19T00:00:00Z,,+1956-01-26T00:00:00Z,female
603
607
608,+1874-07-07T00:00:00Z,,+1943-09-20T00:00:00Z,male
609
610,+1873-01-23T00:00:00Z,Nirasaki,+1957-01-25T00:00:00Z,male
611
616
617,,,,unknown
619
620
621
622
623,+1892-05-20T00:00:00Z,,+1963-11-09T00:00:00Z,male
624
625
629
631
632
633,,,,unknown
634
635,+1886-10-05T00:00:00Z,Tsuchibuchi,+1933-09-29T00:00:00Z,male
636,+1883-05-04T00:00:00Z,,+1964-09-22T00:00:00Z,male
640
642,+1892-04-09T00:00:00Z,Shingu,+1964-05-06T00:00:00Z,male
643,+1902-03-13T00:00:00Z,,+1945-02-23T00:00:00Z,male
645,+1858-04-03T00:00:00Z,Lille,+1900-08-18T00:00:00Z,male
646,+1892-05-27T00:00:00Z,Otsu,+1929-03-04T00:00:00Z,male
647,+1769-07-18T00:00:00Z,Kiba,+1858-10-30T00:00:00Z,male
649
650,,,,unknown
651,+1860-08-14T00:00:00Z,South Shields,+1946-10-23T00:00:00Z,male
652,+1863-09-08T00:00:00Z,Wapping,+1943-09-01T00:00:00Z,male
656,+1934-06-28T00:00:00Z,Korea,+1967-11-02T00:00:00Z,male
657,+1876-12-16T00:00:00Z,,+1926-03-27T00:00:00Z,male
661,+1875-05-11T00:00:00Z,Wakayama Prefecture,+1957-12-09T00:00:00Z,male
662,+1862-05-15T00:00:00Z,Vienna,+1931-10-21T00:00:00Z,male
663,,,,unknown
664
667,+1875-10-20T00:00:00Z,,+1957-12-20T00:00:00Z,male
668,+1884-01-07T00:00:00Z,,+1950-11-09T00:00:00Z,male
669,+0441-00-00T00:00:00Z,Huzhou,+0513-00-00T00:00:00Z,male
670,+1876-10-04T00:00:00Z,Yamaguchi Prefecture,+1967-08-17T00:00:00Z,male
671
672,+1008-00-00T00:00:00Z,Kyoto,+1059-00-00T00:00:00Z,female
673,+1872-08-28T00:00:00Z,,+1945-10-03T00:00:00Z,male
675
677
678
679,+1902-11-01T00:00:00Z,,+1967-04-23T00:00:00Z,male
680,+1834-04-05T00:00:00Z,Philadelphia,+1902-04-20T00:00:00Z,male
683,+1863-01-01T00:00:00Z,,+1923-11-27T00:00:00Z,male
684
686,+1863-02-17T00:00:00Z,Saint Petersburg,+1927-12-05T00:00:00Z,male
687,+1876-01-01T00:00:00Z,,+1922-01-01T00:00:00Z,male
690,+1884-09-03T00:00:00Z,,+1960-12-15T00:00:00Z,male
696,+1921-05-12T00:00:00Z,,+1945-04-09T00:00:00Z,male
697,+1865-11-22T00:00:00Z,Honjō-shuku,+1950-01-12T00:00:00Z,male
699,+1861-05-07T00:00:00Z,Kolkata,+1941-08-07T00:00:00Z,male
701,+1874-02-00T00:00:00Z,Tsuruoka,+1896-02-28T00:00:00Z,female
702
705
707,+1900-01-17T00:00:00Z,Sado district,+1935-06-29T00:00:00Z,male
708,+1903-09-02T00:00:00Z,,+1943-07-23T00:00:00Z,male
709
710,+1874-02-04T00:00:00Z,,+1948-03-06T00:00:00Z,male
713
714
715,+1878-07-24T00:00:00Z,London,+1957-10-25T00:00:00Z,male
717
718
719,+1895-02-16T00:00:00Z,,+1965-08-07T00:00:00Z,male
720,+1848-04-04T00:00:00Z,,+1917-07-05T00:00:00Z,unknown
721
723
725,+1891-01-15T00:00:00Z,,+1934-04-25T00:00:00Z,male
726,+1873-01-01T00:00:00Z,,+1907-01-01T00:00:00Z,male
728,+1909-01-01T00:00:00Z,,+1938-09-14T00:00:00Z,male
729
730,+1660-09-13T00:00:00Z,Ward of Cripplegate,+1731-04-24T00:00:00Z,male
731
732
733
734
735,+1840-05-13T00:00:00Z,Nîmes,+1897-12-16T00:00:00Z,male
740
741
744,+1902-07-14T00:00:00Z,,+1962-03-07T00:00:00Z,male
747,+1899-03-25T00:00:00Z,Yamagata Prefecture,+1925-02-24T00:00:00Z,male
750
751,+1878-10-27T00:00:00Z,,+1946-04-09T00:00:00Z,male
752
754,+1797-01-10T00:00:00Z,Burg Hülshoff,+1848-05-24T00:00:00Z,female
755
758,+1871-00-00T00:00:00Z,,+1947-11-20T00:00:00Z,male
759
761
762
763
766,+1898-05-17T00:00:00Z,Fukuoka,+1966-05-13T00:00:00Z,male
767,+1897-01-01T00:00:00Z,Fukuoka Prefecture,+1926-10-15T00:00:00Z,male
768
772,+1908-02-07T00:00:00Z,,+1963-02-26T00:00:00Z,male
773
774
775,+1895-04-26T00:00:00Z,,+1957-10-02T00:00:00Z,male
776,+1841-07-23T00:00:00Z,Kyoto,+1906-01-15T00:00:00Z,female
777
780
781,+1873-01-14T00:00:00Z,,+1959-08-17T00:00:00Z,male
782,+1873-05-05T00:00:00Z,,+1954-06-05T00:00:00Z,male
783
784,+1870-02-03T00:00:00Z,Lodi,+1945-01-11T00:00:00Z,female
785,,,,unknown
787,+1867-09-19T00:00:00Z,Chikuzen Province,+1955-02-28T00:00:00Z,male
788,+1902-01-01T00:00:00Z,,+1966-01-01T00:00:00Z,male
789,+1882-10-15T00:00:00Z,Iwate Prefecture,+1963-04-14T00:00:00Z,male
791
792
793,+1900-04-30T00:00:00Z,Hokkaido,+1934-02-19T00:00:00Z,male
794,+1860-01-17T00:00:00Z,Castlerea,+1949-07-12T00:00:00Z,male
795,+1899-05-23T00:00:00Z,,+1938-11-22T00:00:00Z,male
796,+1955-04-19T00:00:00Z,Himeji,,male
797
798,+1946-12-29T00:00:00Z,Kotooka,,male
800,+1951-01-01T00:00:00Z,,,male
803
806,+1896-05-17T00:00:00Z,,+1946-07-07T00:00:00Z,male
807,+1887-05-01T00:00:00Z,,+1933-11-07T00:00:00Z,female
808
810,,,,unknown
814,+1908-10-15T00:00:00Z,,+1967-09-18T00:00:00Z,male
815,+1832-12-08T00:00:00Z,Kvikne,+1910-04-26T00:00:00Z,male
816
819,+1870-09-05T00:00:00Z,,+1930-08-20T00:00:00Z,male
821,+1886-03-22T00:00:00Z,,+1936-05-05T00:00:00Z,unknown
822,+1913-03-20T00:00:00Z,,+2002-10-01T00:00:00Z,male
823
824,+1903-09-01T00:00:00Z,,+1939-04-28T00:00:00Z,male
825
827
828
830
831,+1895-10-12T00:00:00Z,,+1966-08-21T00:00:00Z,male
833,+1841-01-01T00:00:00Z,,+1894-10-09T00:00:00Z,male
834
835,+1869-03-14T00:00:00Z,Greenwich,+1951-12-10T00:00:00Z,male
836
837,+1757-11-28T00:00:00Z,London,+1827-08-12T00:00:00Z,male
838,+1862-05-01T00:00:00Z,Paris,+1941-04-08T00:00:00Z,male
839,+1816-04-21T00:00:00Z,Thornton,+1855-03-31T00:00:00Z,female
840,,,,unknown
842,+1640-06-05T00:00:00Z,Zichuan District,+1715-02-25T00:00:00Z,male
843
844
845
846,+1897-05-09T00:00:00Z,,+1925-08-18T00:00:00Z,male
848
849,+1865-02-23T00:00:00Z,,+1945-10-30T00:00:00Z,male
851
856,+1912-06-01T00:00:00Z,Kochi,+1938-09-03T00:00:00Z,male
857,+1898-08-01T00:00:00Z,Okayama Prefecture,+1956-09-14T00:00:00Z,male
858,+1824-12-10T00:00:00Z,Huntly,+1905-09-18T00:00:00Z,male
859,+1887-02-26T00:00:00Z,,+1962-07-30T00:00:00Z,male
865,+1856-02-14T00:00:00Z,Ibaraki Prefecture,+1928-05-04T00:00:00Z,male
866,,,,unknown
867,+1895-01-01T00:00:00Z,,+1950-10-09T00:00:00Z,male
870,+1842-03-18T00:00:00Z,Paris,+1898-09-09T00:00:00Z,male
871,+1818-05-05T00:00:00Z,Trier,+1883-03-14T00:00:00Z,male
872,+1875-06-06T00:00:00Z,Lübeck,+1955-08-12T00:00:00Z,male
874,+1867-10-02T00:00:00Z,,+1908-01-10T00:00:00Z,male
875,+1885-01-25T00:00:00Z,,+1937-08-18T00:00:00Z,male
876,+1876-01-01T00:00:00Z,,+1934-01-01T00:00:00Z,male
881
882,+1878-02-10T00:00:00Z,Tokyo,+1958-03-19T00:00:00Z,female
883,+1887-12-06T00:00:00Z,Tokyo,+1940-03-23T00:00:00Z,male
884
886,+1945-00-00T00:00:00Z,,,male
890
892,+1886-08-01T00:00:00Z,,+1951-02-19T00:00:00Z,male
895
896
897
900
901,+1838-06-18T00:00:00Z,Portland,+1925-12-20T00:00:00Z,male
902,+1839-11-05T00:00:00Z,Donington,+1892-09-05T00:00:00Z,male
903,+1892-00-00T00:00:00Z,,+1949-00-00T00:00:00Z,male
906
907
908,+1890-02-23T00:00:00Z,,+1965-05-16T00:00:00Z,male
911,+1878-01-12T00:00:00Z,Budapest,+1952-04-01T00:00:00Z,male
912,+1921-03-26T00:00:00Z,,+1967-02-23T00:00:00Z,male
913
919
920,+1872-06-03T00:00:00Z,Saga Prefecture,+1926-04-09T00:00:00Z,male
921,+1902-11-09T00:00:00Z,,+1967-05-07T00:00:00Z,male
924
927,+1898-00-00T00:00:00Z,,+1943-12-05T00:00:00Z,male
929,+1867-12-18T00:00:00Z,,+1952-11-21T00:00:00Z,male
932
933
934,+1889-05-28T00:00:00Z,Uji,+1929-03-05T00:00:00Z,male
935,+1878-01-01T00:00:00Z,,+1934-02-14T00:00:00Z,male
936,,,,unknown
937,+1823-10-16T00:00:00Z,,+1898-08-17T00:00:00Z,male
938,+1856-01-02T00:00:00Z,,+1927-10-07T00:00:00Z,male
939,+1880-09-05T00:00:00Z,Shiojiri,+1940-03-26T00:00:00Z,male
940,+1894-03-23T00:00:00Z,,+1957-01-08T00:00:00Z,male
941,+1886-11-24T00:00:00Z,,+1956-04-21T00:00:00Z,male
946
949,+1861-08-25T00:00:00Z,Berlin,+1939-08-31T00:00:00Z,male
950,+1772-04-18T00:00:00Z,London,+1823-09-11T00:00:00Z,male
951
952,+1900-12-11T00:00:00Z,,+1967-12-04T00:00:00Z,male
953,+1964-03-13T00:00:00Z,Tokyo,,male
954,+1876-03-03T00:00:00Z,,+1947-08-17T00:00:00Z,male
955,+1875-08-29T00:00:00Z,Vendôme,+1926-04-14T00:00:00Z,male
956,+1844-03-24T00:00:00Z,Ixelles - Elsene,+1913-06-13T00:00:00Z,male
957,+1864-12-28T00:00:00Z,Honfleur,+1936-05-23T00:00:00Z,male
958,+1854-10-16T00:00:00Z,Dublin,+1900-11-30T00:00:00Z,male
961,+1960-03-08T00:00:00Z,Tokyo,,male
962,+1963-07-01T00:00:00Z,,,male
963,+1902-08-26T00:00:00Z,Hokkaido,+1930-02-10T00:00:00Z,male
964
965,+1769-03-29T00:00:00Z,Bückeburg,+1838-06-28T00:00:00Z,male
966
